Throughput (s)
14
385
237
227
225
216
267
246
229
253
240
232
231
244
236
223
222
232
222
253
248
208
240
229
223
109
201
195
98
177
132
94
98
93
134
123
119
115
109
130
68
138
56
69
88
84
66
60
55
96
50
70
73
88
55
79
82
54
90
69
85
85
63
48
76
79
57
53
67
90
51
52
53
89
54
46
53
92
49
61
84
48
64
64
43
91
44
69
51
77
44
84
44
83
41
84
44
66
53
47
69
40
73
35
82
39
69
34
72
44
64
56
37
67
48
59
51
66
37
67
33
72
58
54
42
58
65
47
69
39
73
36
72
34
71
36
69
59
43
69
34
27
