Throughput (s)
14
386
239
225
226
215
269
243
230
253
239
233
229
245
232
225
222
234
221
253
247
209
235
236
223
110
200
189
104
178
130
95
98
93
131
126
120
114
108
131
68
138
56
68
89
84
66
61
51
100
50
69
73
88
56
78
80
56
90
68
86
85
63
48
76
80
56
53
67
90
51
51
54
89
54
47
52
92
49
61
84
47
65
63
44
91
45
68
51
77
44
84
45
82
42
83
44
66
53
47
68
41
73
35
81
40
69
34
72
44
64
57
36
67
49
58
51
66
37
67
33
72
58
54
42
58
65
46
70
39
73
37
71
35
71
35
69
59
44
69
34
26
