Throughput (s)
14
388
237
225
228
214
270
244
228
253
240
234
229
246
229
228
220
233
221
253
248
207
238
228
227
110
202
186
103
174
139
93
98
92
131
121
123
110
112
129
73
127
64
67
92
84
59
60
59
89
55
75
73
78
60
84
73
61
92
66
87
86
55
56
76
70
59
57
70
79
55
54
58
81
54
52
55
83
54
65
73
55
68
57
50
81
49
74
49
70
51
80
50
76
48
73
52
69
47
53
61
47
65
45
71
46
62
44
66
50
57
52
45
67
47
63
47
61
44
61
41
65
65
49
47
56
64
45
64
45
66
44
66
43
63
43
65
63
42
62
43
27
