Throughput (s)
430
552
511
492
448
454
468
480
466
469
449
452
440
409
391
364
350
333
306
150
152
147
144
131
148
139
134
131
115
125
95
90
84
102
96
103
85
54
96
81
41
102
100
74
68
66
118
106
89
71
95
93
83
63
83
92
62
66
83
81
83
53
94
60
76
89
125
78
73
118
88
70
109
90
134
68
127
90
102
59
116
59
110
69
109
57
112
78
89
72
89
55
104
55
70
83
95
98
69
78
89
59
94
3
