Throughput (s)
237
255
235
234
199
220
251
234
228
249
234
218
225
232
238
248
236
255
254
246
236
234
231
220
208
163
95
158
178
87
92
86
91
41
75
93
75
126
38
75
83
50
51
72
67
67
46
47
99
68
13
