Throughput (s)
237
256
233
236
198
219
252
234
229
250
235
217
226
232
238
249
236
254
256
246
237
234
231
219
207
164
95
157
179
87
92
86
91
41
75
93
74
127
38
75
83
50
51
72
67
67
46
47
99
67
14
