Throughput (s)
239
255
224
224
228
243
236
243
256
239
256
240
235
224
151
252
222
238
238
234
253
250
240
249
128
241
164
169
121
212
218
105
169
58
75
95
75
55
64
92
88
139
37
44
49
90
51
72
58
59
60
100
58
76
63
102
51
103
93
87
74
60
94
60
66
72
63
45
94
90
59
28
