Throughput (s)
241
252
224
225
227
242
237
243
255
241
254
239
231
227
150
251
222
239
240
235
256
249
241
247
127
242
163
169
121
212
218
105
170
58
77
96
72
54
63
95
87
138
38
43
50
90
50
72
58
59
60
100
60
75
63
102
52
101
93
87
74
60
95
61
66
70
63
46
93
90
60
27
