Throughput (s)
241
253
225
226
224
246
237
242
258
241
252
237
236
223
153
254
220
240
237
232
257
249
242
247
122
244
164
171
121
212
216
104
171
58
72
93
80
55
63
94
87
139
37
44
48
85
57
72
54
63
60
94
62
75
68
94
54
104
94
88
74
60
92
60
64
73
65
45
93
88
62
29
