Throughput (s)
244
257
225
216
205
249
244
235
237
231
242
238
237
233
240
239
219
237
220
238
249
210
201
192
227
218
193
215
112
175
120
102
162
150
160
68
92
156
81
89
82
81
64
78
75
117
53
49
77
71
122
68
67
82
89
55
81
106
64
58
81
53
55
59
74
69
69
59
74
60
63
61
62
87
69
62
56
59
55
99
67
54
67
49
95
54
104
54
51
102
50
52
73
74
50
52
48
95
49
32
