Throughput (s)
243
258
223
216
206
244
247
234
237
229
242
240
236
234
240
241
218
236
222
241
247
208
204
192
227
218
193
215
113
174
121
101
163
150
158
69
93
155
81
89
82
81
64
79
74
117
53
50
77
70
122
69
66
82
89
55
81
106
64
58
81
53
55
59
74
69
69
59
74
60
64
61
61
87
69
63
57
58
56
97
68
54
66
49
96
53
105
54
51
102
49
53
72
75
49
53
48
94
49
32
