Throughput (s)
15
373
225
209
217
228
239
236
236
225
232
222
221
214
250
229
238
218
233
231
246
236
227
218
213
230
200
194
194
177
103
58
78
136
167
87
142
73
84
75
75
80
65
95
62
57
62
76
89
88
67
59
64
61
113
66
82
82
55
55
83
82
53
55
67
87
50
99
53
65
80
73
71
46
88
52
80
60
67
68
44
90
43
84
56
73
52
68
83
42
72
49
75
44
81
40
78
69
45
75
39
77
72
40
76
38
72
37
72
37
71
45
60
71
36
71
62
41
68
40
61
67
42
59
65
34
66
63
33
64
63
34
63
64
32
61
62
31
62
50
43
61
31
59
59
39
51
58
33
56
57
58
29
56
52
32
48
56
57
29
57
56
31
54
55
54
28
54
55
54
28
44
36
41
47
44
41
29
45
51
52
30
42
51
25
