Throughput (s)
16
372
226
209
216
230
244
235
230
225
233
221
220
217
247
231
236
220
233
227
249
234
226
221
212
230
201
193
194
179
101
58
78
137
171
81
141
76
83
75
75
80
65
95
62
57
62
76
89
89
66
58
64
63
112
65
83
82
55
55
83
81
53
56
67
87
50
99
52
66
79
74
71
46
88
52
80
60
67
68
44
89
43
85
56
73
52
68
82
43
72
49
75
44
80
41
78
69
45
75
39
76
73
40
75
38
73
37
72
37
71
45
60
71
36
71
62
41
68
40
61
66
43
59
65
34
66
63
33
64
63
34
63
64
32
61
62
30
63
50
43
61
30
60
59
39
51
58
33
56
58
57
29
56
51
33
48
56
58
28
57
56
31
54
55
54
28
54
55
54
28
43
36
42
47
43
42
30
44
51
52
30
42
51
25
